"","colnames(df_sel)"
"152","Norm_Area_241018_IP_HAM-CSF_RP-pos_154_H089-8raw_(F150)"
"153","Norm_Area_241018_IP_HAM-CSF_RP-pos_155_H089-20raw_(F151)"
"154","Norm_Area_241018_IP_HAM-CSF_RP-pos_156_H089-32raw_(F152)"
"155","Norm_Area_241018_IP_HAM-CSF_RP-pos_157_H089-44raw_(F153)"
"156","Norm_Area_241018_IP_HAM-CSF_RP-pos_158_H089-56raw_(F154)"
"157","Norm_Area_241018_IP_HAM-CSF_RP-pos_160_QCraw_(F156)"
"158","Norm_Area_241018_IP_HAM-CSF_RP-pos_161_QCraw_(F157)"
"159","Norm_Area_241018_IP_HAM-CSF_RP-pos_162_blank-endraw_(F158)"
"160","Norm_Area_241018_IP_HAM-CSF_RP-pos_163_SSTraw_(F160)"
"161","Peak_Rating_241018_a_HAM-CSF_RP-pos_10_H089-57raw_(F1)"
"162","Peak_Rating_241018_IP_HAM-CSF_RP-pos_1_SSTraw_(F2)"
"163","Peak_Rating_241018_IP_HAM-CSF_RP-pos_2_Blank-startraw_(F3)"
"164","Peak_Rating_241018_IP_HAM-CSF_RP-pos_3_Blank-startraw_(F4)"
"165","Peak_Rating_241018_IP_HAM-CSF_RP-pos_5_QC-conditioningraw_(F5)"
"166","Peak_Rating_241018_IP_HAM-CSF_RP-pos_6_QC-conditioningraw_(F6)"
"167","Peak_Rating_241018_IP_HAM-CSF_RP-pos_11_H089-69raw_(F9)"
"168","Peak_Rating_241018_IP_HAM-CSF_RP-pos_12_H089-81raw_(F10)"
"169","Peak_Rating_241018_IP_HAM-CSF_RP-pos_13_H090-93raw_(F11)"
"170","Peak_Rating_241018_IP_HAM-CSF_RP-pos_14_H089-58raw_(F12)"
"171","Peak_Rating_241018_IP_HAM-CSF_RP-pos_15_H089-70raw_(F13)"
"172","Peak_Rating_241018_IP_HAM-CSF_RP-pos_16_H089-82raw_(F14)"
"173","Peak_Rating_241018_IP_HAM-CSF_RP-pos_17_H090-94raw_(F15)"
"174","Peak_Rating_241018_IP_HAM-CSF_RP-pos_18_QCraw_(F16)"
"175","Peak_Rating_241018_IP_HAM-CSF_RP-pos_19_H089-59raw_(F17)"
"176","Peak_Rating_241018_IP_HAM-CSF_RP-pos_20_H089-71raw_(F18)"
"177","Peak_Rating_241018_IP_HAM-CSF_RP-pos_21_H089-83raw_(F19)"
"178","Peak_Rating_241018_IP_HAM-CSF_RP-pos_22_H090-95raw_(F20)"
"179","Peak_Rating_241018_IP_HAM-CSF_RP-pos_23_H089-60raw_(F21)"
"180","Peak_Rating_241018_IP_HAM-CSF_RP-pos_24_H089-72raw_(F22)"
"181","Peak_Rating_241018_IP_HAM-CSF_RP-pos_25_H089-84raw_(F23)"
"182","Peak_Rating_241018_IP_HAM-CSF_RP-pos_26_H090-96raw_(F24)"
"183","Peak_Rating_241018_IP_HAM-CSF_RP-pos_28_H089-61raw_(F25)"
"184","Peak_Rating_241018_IP_HAM-CSF_RP-pos_29_H089-73raw_(F26)"
"185","Peak_Rating_241018_IP_HAM-CSF_RP-pos_30_H089-85raw_(F27)"
"186","Peak_Rating_241018_IP_HAM-CSF_RP-pos_31_H090-97raw_(F28)"
"187","Peak_Rating_241018_IP_HAM-CSF_RP-pos_32_H089-62raw_(F29)"
"188","Peak_Rating_241018_IP_HAM-CSF_RP-pos_33_H089-74raw_(F30)"
"189","Peak_Rating_241018_IP_HAM-CSF_RP-pos_34_H089-86raw_(F31)"
"190","Peak_Rating_241018_IP_HAM-CSF_RP-pos_35_H090-98raw_(F32)"
"191","Peak_Rating_241018_IP_HAM-CSF_RP-pos_36_QCraw_(F33)"
"192","Peak_Rating_241018_IP_HAM-CSF_RP-pos_37_H089-63raw_(F34)"
"193","Peak_Rating_241018_IP_HAM-CSF_RP-pos_38_H089-75raw_(F35)"
"194","Peak_Rating_241018_IP_HAM-CSF_RP-pos_39_H089-87raw_(F36)"
"195","Peak_Rating_241018_IP_HAM-CSF_RP-pos_40_H090-99raw_(F37)"
"196","Peak_Rating_241018_IP_HAM-CSF_RP-pos_41_H089-64raw_(F38)"
"197","Peak_Rating_241018_IP_HAM-CSF_RP-pos_42_H089-76raw_(F39)"
"198","Peak_Rating_241018_IP_HAM-CSF_RP-pos_43_H089-88raw_(F40)"
"199","Peak_Rating_241018_IP_HAM-CSF_RP-pos_44_H090-100raw_(F41)"
"200","Peak_Rating_241018_IP_HAM-CSF_RP-pos_46_H089-65raw_(F42)"
"201","Peak_Rating_241018_IP_HAM-CSF_RP-pos_47_H089-77raw_(F43)"
