"sample_nr","tb_mean","variable","value"
88,34.3,"Butyl Vanillyl Ether",-1.10604487015165
89,34.5,"Butyl Vanillyl Ether",0.149751281872006
90,34.3,"Butyl Vanillyl Ether",0.655727871814436
91,34.7,"Butyl Vanillyl Ether",0.747679157389406
92,34.7,"Butyl Vanillyl Ether",0.642952556915148
93,33.8,"Butyl Vanillyl Ether",-0.100207168032918
94,33.4,"Butyl Vanillyl Ether",0.238058898091357
95,33.5,"Butyl Vanillyl Ether",1.10463266814211
96,33.3,"Butyl Vanillyl Ether",0.190405094416593
97,35,"Butyl Vanillyl Ether",0.341306226666213
98,35.7,"Butyl Vanillyl Ether",0.181577465824827
99,34.7,"Butyl Vanillyl Ether",0.310841701406703
100,34.2,"Butyl Vanillyl Ether",-1.03333264417222
1,35.2,"Np-008952",0.271473296629925
2,34.7,"Np-008952",0.367694447488916
3,35,"Np-008952",0.347319560292341
4,30.9,"Np-008952",0.499639840413247
5,24.3,"Np-008952",0.379868436893143
6,18.1,"Np-008952",0.837363449639559
7,13,"Np-008952",0.342904105810039
8,10.7,"Np-008952",-1.54522147639859
9,10,"Np-008952",-0.181078457475971
10,9.3,"Np-008952",-0.440848973439626
11,8.9,"Np-008952",-0.0473993301649977
12,8.8,"Np-008952",-0.177217008988385
13,8.7,"Np-008952",-0.209453022024935
14,8.7,"Np-008952",-0.172436985649605
15,8.6,"Np-008952",-0.0863230147056947
16,8.6,"Np-008952",0.201973857775371
17,8.8,"Np-008952",0.131770918634078
18,9,"Np-008952",0.0174870387376557
19,9.2,"Np-008952",0.306376197675284
20,9.4,"Np-008952",0.560199469405893
21,9.7,"Np-008952",-0.0939070959237323
22,10,"Np-008952",-0.20073860242734
23,10,"Np-008952",0.106506135059342
24,9.9,"Np-008952",-0.185952991645972
25,9.9,"Np-008952",-0.0844018448944066
26,10.1,"Np-008952",-0.0821061243911955
27,10.5,"Np-008952",-0.00358259680174573
28,11.6,"Np-008952",0.0210980195740094
29,30.9,"Np-008952",0.372781842234231
30,34.4,"Np-008952",1.02937318084511
31,34.9,"Np-008952",1.01268868357964
32,34.5,"Np-008952",1.23566743602188
33,34.2,"Np-008952",0.314531290482998
34,34.5,"Np-008952",0.238129587730685
35,33.9,"Np-008952",0.352779371346121
36,34.1,"Np-008952",0.510391864910702
37,34.1,"Np-008952",0.67640235795822
38,34.4,"Np-008952",0.463511514887485
39,33.9,"Np-008952",0.737336455867144
40,33.7,"Np-008952",1.30762134183947
41,33.5,"Np-008952",0.647876847829117
42,33.5,"Np-008952",1.1012934363993
43,34.1,"Np-008952",1.15538889260962
44,33.9,"Np-008952",1.30443119387542
45,32.3,"Np-008952",0.644864146814534
46,28.6,"Np-008952",0.300050930751775
47,22.5,"Np-008952",0.199512043747775
48,15.6,"Np-008952",0.441385693884165
49,12.8,"Np-008952",0.228474791359009
50,12.3,"Np-008952",0.237380714214627
51,11.5,"Np-008952",0.315484285022833
52,11.2,"Np-008952",0.405981362762862
53,10.8,"Np-008952",0.547483892236176
54,10.4,"Np-008952",0.299984544752444
55,10.2,"Np-008952",0.563039046191828
56,10,"Np-008952",0.529804682492951
57,9.7,"Np-008952",0.488791413797426
58,9.3,"Np-008952",0.43341831233049
59,9.1,"Np-008952",0.176975907005975
60,8.9,"Np-008952",0.203884361218881
61,8.6,"Np-008952",0.218563583021806
62,8.5,"Np-008952",-0.203233679646104
63,8.3,"Np-008952",-0.47209880963962
64,8.1,"Np-008952",-0.979693833176598
65,7.9,"Np-008952",0.133572953670834
66,7.7,"Np-008952",-0.0767517537376619
67,7.6,"Np-008952",-0.138747143394283
68,7.5,"Np-008952",0.159464745679776
69,7.5,"Np-008952",-0.0906496580908718
70,7.5,"Np-008952",0.297672698491899
71,7.5,"Np-008952",0.202306225295548
72,7.7,"Np-008952",-0.537703377510322
73,7.9,"Np-008952",0.466597345445481
74,8,"Np-008952",-0.0833220072549918
75,8,"Np-008952",-0.0347687797589677
76,7.8,"Np-008952",-1.12601402798869
77,7.7,"Np-008952",0.263775825479717
78,7.6,"Np-008952",0.0931218112344449
79,7.6,"Np-008952",0.106574620514461
80,7.6,"Np-008952",0.0140044677683672
81,7.6,"Np-008952",0.0076499982259057
82,15,"Np-008952",0.611415519303437
83,34.3,"Np-008952",1.40218528447685
84,34.4,"Np-008952",0.491584778976142
85,34.4,"Np-008952",0.467049052303026
86,34.4,"Np-008952",0.691854357816078
87,34.7,"Np-008952",1.54280199222225
88,34.3,"Np-008952",-0.360296033224061
89,34.5,"Np-008952",1.04988049110197
