"","tag","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant","Phase_deg","Phase_rad","Timing","Amplitude"
"245","F","268.12876/6.937",0.551563537852036,0.501236291775012,0.459778180973568,-1,-0.280082211467723,0.270798319369273,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.52691744173933
"246","F","361.21025/8.097",0.550523163728014,0.532413746788599,0.514407062577685,27,-0.273927627433473,0.276248606381114,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",1.60885820170422
"247","F","Metharbital",0.549361395325481,0.54587992118631,0.542232062578151,-3,-0.273721641868397,0.273061154356874,TRUE,339.230769230769,5.92069384714999,"Precedes Tb",2.26315112971507
"248","F","301.15266/3.941",0.548359683675809,0.532741335180172,0.513205887131039,-21,-0.277527772668634,0.280135638931363,TRUE,214.615384615385,3.74574508697245,"Precedes Tb",1.50499734766083
"249","D","Otonecine",0.548120851302382,0.509577555538609,0.438244235660511,-13,-0.273036297098418,0.272642536755276,TRUE,270,4.71238898038469,"Precedes Tb",2.02072193684187
"250","F","285.15774/4.416",0.546960292697346,0.534640096696041,0.523891573974596,25,-0.27754123680325,0.280706282613816,TRUE,173.076923076923,3.02076216691326,"After Tb",1.95298056252901
"251","F","286.14172/4.003",0.546511256253873,0.530423204797061,0.512443971506474,24,-0.280002602532556,0.275849701028556,TRUE,166.153846153846,2.89993168023673,"After Tb",1.55666648546291
"252","F","235.14202/2.391",0.546191910174241,0.537963182779179,0.525945432639157,25,-0.27736165405712,0.275920302336026,TRUE,173.076923076923,3.02076216691326,"After Tb",2.0112992336419
"253","F","331.1996/4.29",0.545888453581399,0.54344101385305,0.541560997908723,21,-0.273677883304804,0.272891603360446,TRUE,145.384615384615,2.53744022020714,"After Tb",1.29570691109116
"254","F","298.08201/4.842",0.545366610427201,0.514836918407888,0.46156283511622,25,-0.275621596659808,0.277344811321625,TRUE,173.076923076923,3.02076216691326,"After Tb",1.38830575975574
"255","F","327.89103/0.81",0.543549096680733,0.502949722818901,0.472471399191641,22,-0.274082751289122,0.275406854479495,TRUE,152.307692307692,2.65827070688367,"After Tb",1.8650886410092
"256","F","396.17625/7.829",0.543351964831332,0.500645338596617,0.444720718407435,-25,-0.275524501040901,0.277312343611645,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",3.35593419535376
"257","F","377.87346/0.776",0.542545014445676,0.538759257110002,0.529785520375337,27,-0.276511926751846,0.272109548449241,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",1.76273640489868
