"","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant","Phase_deg","Phase_rad","Timing","Amplitude"
"47","Fructoselysine 6-Phosphate",0.701523091832724,0.64048286385097,0.57919239514579,0,-0.221342590038004,0.219874713104686,TRUE,0,0,"Synchronous",2.24237267164745
"48","299.22101/7.53",0.700347237807582,0.663410701067147,0.623330905266323,0,-0.23262045028557,0.237256956601927,TRUE,0,0,"Synchronous",2.04504286444805
"49","Pirbuterol",0.698548627586721,0.666891254545643,0.607168655015006,1,-0.237742034722914,0.245951940598989,TRUE,6.92307692307692,0.120830486676531,"Synchronous",2.07911507026485
"50","278.09196/11.829",0.697844952462301,0.625965117606273,0.540825554423916,0,-0.224690946260494,0.222108972445951,TRUE,0,0,"Synchronous",2.27488459629949
"51","301.18901/5.611",0.687356792075936,0.653616147866775,0.593258862934878,0,-0.240951148819437,0.236763595830982,TRUE,0,0,"Synchronous",1.7518189845262
"52","240.0974/2.213",0.681630803515083,0.631688949807571,0.572490961459342,0,-0.242058078620386,0.241456677999039,TRUE,0,0,"Synchronous",2.24407637636872
"53","104.02624/11.829",0.681209349553887,0.618415670986158,0.567878561863807,0,-0.213467146240619,0.214416387045855,TRUE,0,0,"Synchronous",2.46202852844494
"54","Dopamine",0.680155234172812,0.634841134930418,0.570515790327878,0,-0.242196331406275,0.242028111089849,TRUE,0,0,"Synchronous",2.31575908042701
"55","12-Aminododecanoic Acid",0.679234134847113,0.598954961513341,0.495293555776258,0,-0.238557512488764,0.245595225825805,TRUE,0,0,"Synchronous",2.11040797641761
"56","269.16277/7.064",0.673418365695196,0.63131698303262,0.577852623914329,0,-0.231986465680905,0.227115040159091,TRUE,0,0,"Synchronous",1.68344964668369
"57","254.1631/7.531",0.671280128048387,0.637431503460506,0.600250773679691,0,-0.233218920533062,0.23990329251652,TRUE,0,0,"Synchronous",2.3728019976448
"58","383.28864/7.663",0.668005262252422,0.617826511088087,0.566488973343427,0,-0.218221431051565,0.214909462823891,TRUE,0,0,"Synchronous",2.41497260346901
"59","317.93055/0.861",0.662919121559931,0.60981389261177,0.554908820619577,1,-0.245035436393775,0.244190516206034,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.6524241515245
"60","1,3-Dihydroxy-2-Propanyl (13z,16z)-13,16-Docosadienoate",0.660916207797115,0.625546060023114,0.574455293618166,0,-0.235335968173309,0.234604892196649,TRUE,0,0,"Synchronous",2.01117663723212
"61","271.93734/0.873",0.659165517904519,0.603499531651816,0.528252213016562,1,-0.238873483178771,0.239673778561635,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.26603471318906
"62","366.14307/7.082",0.655860580635242,0.596208127377392,0.534121255518981,0,-0.221855332647393,0.220155132626093,TRUE,0,0,"Synchronous",2.30761957138013
"63","203.9499/0.872",0.653792249244038,0.607450306021503,0.547366957359834,1,-0.234258220331735,0.234929307299331,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.320920328637
"64","185.2144/6.52",0.652540967964313,0.628809473371082,0.597479204733355,-19,-0.243029379926385,0.247717518851612,TRUE,228.461538461538,3.98740606032551,"Precedes Tb",1.89380813885346
