date,time,datetime,Tb,ID,Sample_nr
31/05/2023,01:16:14,31/05/2023 01:16,34.03,H089,
31/05/2023,01:31:14,31/05/2023 01:31,33.97,H089,
31/05/2023,01:46:14,31/05/2023 01:46,34.98,H089,
31/05/2023,02:01:14,31/05/2023 02:01,35.41,H089,
31/05/2023,02:16:14,31/05/2023 02:16,34.68,H089,
31/05/2023,02:31:14,31/05/2023 02:31,34.32,H089,
31/05/2023,02:46:14,31/05/2023 02:46,33.86,H089,
31/05/2023,03:01:14,31/05/2023 03:01,34.14,H089,
31/05/2023,03:16:14,31/05/2023 03:16,35.35,H089,
31/05/2023,03:31:14,31/05/2023 03:31,36.02,H089,
31/05/2023,03:46:14,31/05/2023 03:46,35.06,H089,
31/05/2023,04:01:14,31/05/2023 04:01,34.84,H089,
31/05/2023,04:16:14,31/05/2023 04:16,34.86,H089,
31/05/2023,04:31:14,31/05/2023 04:31,34.11,H089,
31/05/2023,04:46:14,31/05/2023 04:46,34.49,H089,
31/05/2023,05:01:14,31/05/2023 05:01,35.39,H089,
31/05/2023,05:16:14,31/05/2023 05:16,34.94,H089,
31/05/2023,05:31:14,31/05/2023 05:31,34.07,H089,
31/05/2023,05:46:14,31/05/2023 05:46,33.5,H089,
31/05/2023,06:01:14,31/05/2023 06:01,35.1,H089,
31/05/2023,06:16:14,31/05/2023 06:16,34.63,H089,
31/05/2023,06:31:14,31/05/2023 06:31,33.77,H089,
31/05/2023,06:46:14,31/05/2023 06:46,33.56,H089,
31/05/2023,07:01:14,31/05/2023 07:01,33.68,H089,
31/05/2023,07:16:14,31/05/2023 07:16,34.37,H089,
31/05/2023,07:31:14,31/05/2023 07:31,34.18,H089,
31/05/2023,07:46:15,31/05/2023 07:46,33.93,H089,
31/05/2023,08:01:15,31/05/2023 08:01,34.77,H089,
31/05/2023,08:16:15,31/05/2023 08:16,34.35,H089,
31/05/2023,08:31:15,31/05/2023 08:31,34.29,H089,
31/05/2023,08:46:15,31/05/2023 08:46,34.27,H089,
31/05/2023,09:01:15,31/05/2023 09:01,34.78,H089,
31/05/2023,09:16:15,31/05/2023 09:16,34.07,H089,
31/05/2023,09:31:15,31/05/2023 09:31,34.64,H089,
31/05/2023,09:46:15,31/05/2023 09:46,34.51,H089,
31/05/2023,10:01:15,31/05/2023 10:01,34.56,H089,
31/05/2023,10:16:15,31/05/2023 10:16,34.05,H089,
31/05/2023,10:31:15,31/05/2023 10:31,34.06,H089,
31/05/2023,10:46:15,31/05/2023 10:46,33.59,H089,
31/05/2023,11:01:15,31/05/2023 11:01,33.75,H089,
31/05/2023,11:16:15,31/05/2023 11:16,33.17,H089,
31/05/2023,11:31:15,31/05/2023 11:31,34.1,H089,
31/05/2023,11:46:15,31/05/2023 11:46,34.19,H089,
31/05/2023,12:01:15,31/05/2023 12:01,33.95,H089,
31/05/2023,12:16:15,31/05/2023 12:16,33.59,H089,
31/05/2023,12:31:15,31/05/2023 12:31,33.85,H089,
31/05/2023,12:46:15,31/05/2023 12:46,33.16,H089,
31/05/2023,13:01:14,31/05/2023 13:01,33.91,H089,
31/05/2023,13:16:16,31/05/2023 13:16,34.31,H089,
31/05/2023,13:31:16,31/05/2023 13:31,34.75,H089,
31/05/2023,13:46:17,31/05/2023 13:46,35.45,H089,
31/05/2023,14:01:17,31/05/2023 14:01,34.56,H089,
31/05/2023,14:16:17,31/05/2023 14:16,33.78,H089,
31/05/2023,14:31:18,31/05/2023 14:31,33.82,H089,
31/05/2023,14:46:18,31/05/2023 14:46,34.64,H089,
31/05/2023,15:01:19,31/05/2023 15:01,34.17,H089,
31/05/2023,15:16:19,31/05/2023 15:16,34.06,H089,
31/05/2023,15:31:19,31/05/2023 15:31,33.52,H089,
31/05/2023,15:46:20,31/05/2023 15:46,34.6,H089,
